job_id,industry,required_skills,acceptable_majors,min_gpa,min_months_experience,min_academic_level,min_hours_per_week,min_length_of_commitment,job_in_person_commitment,min_num_publications,job_llm_output
J0013,Reinforcement Learning,"['Multi-Agent RL', 'Unity ML-Agents', 'TD3', 'Policy Gradient', 'Off-Policy Learning', 'DDPG', 'Actor-Critic', 'Deep Q-Networks', 'Q-Learning', 'Value Iteration']","['Electrical Engineering', 'Computer Science', 'Applied Math']",3.67,15,UG2,27,1,No Preference,0,"As a Reinforcement Learning Engineer, the candidate will be responsible for designing, implementing, and optimizing multi-agent reinforcement learning algorithms to solve complex decision-making problems in Unity ML-Agents environment. The candidate will work on developing and improving deep reinforcement learning models such as TD3, Policy Gradient, and DDPG, utilizing actor-critic, deep Q-networks, and Q-learning techniques. Additionally, the candidate will focus on implementing value iteration methods for off-policy learning to enhance the efficiency and performance of the reinforcement learning models."
J0014,Reinforcement Learning,"['Temporal Difference', 'Q-Learning', 'Experience Replay', 'Multi-Agent RL', 'Unity ML-Agents', 'Inverse RL', 'OpenAI Gym', 'DDPG', 'Reward Shaping', 'PPO']","['Computer Science', 'Applied Data Science', 'Statistics']",2.34,13,UG1,38,1,Hybrid,0,"As a Reinforcement Learning Engineer, you will be responsible for designing and implementing advanced algorithms in the field of Reinforcement Learning. Specifically, you will work on optimizing Temporal Difference, Q-Learning, and Experience Replay methods for multi-agent scenarios using frameworks like Unity ML-Agents and OpenAI Gym. Additionally, you will explore and implement techniques such as Inverse RL, Reward Shaping, DDPG, and Proximal Policy Optimization (PPO) to improve the efficiency and effectiveness of the learning process."
J0015,Applications (Other),"['A/B Testing', 'Signal Processing', 'Anomaly Detection', 'Forecasting', 'Privacy-Preserving ML', 'Statistical Modeling', 'HIPAA Compliance', 'Time Series Analysis', 'Data Privacy', 'Causal Inference']","['Statistics', 'Computer Science', 'Applied Data Science']",2.73,36,UG2,38,1,No Preference,2,"As a Data Scientist in our Applications team, you will be responsible for developing and implementing A/B testing strategies, signal processing techniques, and anomaly detection algorithms to optimize user engagement and improve the performance of our applications. You will also work on forecasting models to predict user behavior and develop privacy-preserving machine learning models that comply with HIPAA regulations. Additionally, you will analyze time series data, apply statistical modeling techniques, and ensure data privacy and security in all your work."
J0016,CV,"['Pose Estimation', 'Style Transfer', 'Inception', 'ResNet', 'Image Classification', 'Stereo Vision', 'Transfer Learning', '3D Vision', 'Data Augmentation', 'R-CNN']","['Computer Science', 'Applied Data Science', 'Electrical Engineering']",3.21,19,UG4,21,3,In Person,1,"As a Computer Vision Engineer, you will be responsible for developing and implementing advanced techniques in the field of computer vision. Specifically, you will focus on tasks such as pose estimation, style transfer, and image classification using deep learning models like Inception and ResNet. Additionally, you will work on projects involving stereo vision, transfer learning, and 3D vision, as well as data augmentation and object detection using R-CNN. Your role will also involve staying updated with the latest research and advancements in the field to ensure the implementation of cutting-edge technologies."
J0017,CV,"['Pose Estimation', 'YOLO', 'Image Segmentation', 'Super Resolution', 'Image Classification', 'Style Transfer', 'ResNet', 'R-CNN', 'EfficientNet', 'Stereo Vision']","['Computer Science', 'Statistics', 'Electrical Engineering']",3.58,23,UG3,11,2,In Person,2,"As a Computer Vision Engineer, the candidate will be responsible for designing and implementing advanced algorithms for pose estimation, object detection, and image segmentation using deep learning techniques such as YOLO, ResNet, and R-CNN. They will also work on enhancing image quality through super-resolution and style transfer, and develop stereo vision algorithms for 3D reconstruction. The candidate will collaborate with a cross-functional team to integrate these technologies into real-world applications."
J0018,CV,"['VGG', '3D Vision', 'YOLO', 'R-CNN', 'ResNet', 'Stereo Vision', 'Facial Recognition', 'Super Resolution', 'SLAM', 'OCR']","['Applied Math', 'Electrical Engineering', 'Computer Science']",2.51,13,UG3,14,2,No Preference,1,"In this role, the candidate will be responsible for designing, developing, and implementing computer vision algorithms using various techniques such as VGG, 3D Vision, YOLO, R-CNN, ResNet, Stereo Vision, Facial Recognition, Super Resolution, SLAM, and OCR. They will work on enhancing the performance of existing algorithms and creating new ones to address specific industry challenges. The candidate will also collaborate with cross-functional teams to integrate their solutions into larger systems and ensure the overall quality and efficiency of the visual computing solutions."
J0019,Applications (Other),"['Time Series Analysis', 'Data Privacy', 'Drug Discovery', 'Ethics in AI', 'Statistical Modeling', 'Data Analysis', 'Explainable AI', 'Healthcare Analytics', 'HIPAA Compliance', 'Privacy-Preserving ML']","['Economics', 'Applied Math', 'Statistics']",3.27,35,UG1,8,1,In Person,1,"As a Data Scientist in the field of Applications (Other), you will be responsible for applying advanced data analysis techniques to complex datasets in the areas of Time Series Analysis, Data Privacy, Drug Discovery, and Ethics in AI. You will work on developing statistical models to analyze data, ensuring compliance with regulations such as HIPAA, and implementing Explainable AI to improve the transparency and interpretability of machine learning models. Additionally, you will collaborate with a cross-functional team to apply your expertise in Healthcare Analytics to real-world problems in the healthcare industry, while maintaining a strong focus on Privacy-Preserving Machine Learning to protect sensitive patient data."
J0020,CV,"['Super Resolution', 'R-CNN', 'GAN', 'SLAM', 'Object Detection', 'VGG', 'EfficientNet', 'OCR', 'Pose Estimation', 'Image Classification']","['Applied Math', 'Computer Science', 'Applied Data Science']",3.23,6,UG3,36,4,Online,0,"As a Computer Vision Engineer, the candidate will be responsible for designing and implementing advanced algorithms for super-resolution, object detection, and pose estimation using cutting-edge techniques such as R-CNN, GAN, and EfficientNet. They will also work on improving SLAM systems, implementing OCR for text recognition, and enhancing image classification models using VGG and other deep learning architectures. The successful candidate will collaborate with a team of researchers and engineers to develop innovative solutions in the field of computer vision."
J0021,Reinforcement Learning,"['TRPO', 'OpenAI Gym', 'Q-Learning', 'Experience Replay', 'Model-Based RL', 'Off-Policy Learning', 'TD3', 'Multi-Agent RL', 'Value Iteration', 'Actor-Critic']","['Computer Science', 'Applied Math', 'Electrical Engineering']",2.69,2,UG4,15,2,Hybrid,1,"As a Reinforcement Learning Engineer, you will be responsible for designing, implementing, and optimizing reinforcement learning algorithms to solve complex decision-making problems. You will work on developing and improving various RL techniques such as TRPO, Q-Learning, and Model-Based RL, utilizing libraries like OpenAI Gym and TensorFlow. Additionally, you will collaborate on projects involving Off-Policy Learning, Experience Replay, and Multi-Agent RL, with a focus on creating efficient and scalable solutions using techniques like TD3 and Value Iteration."
J0022,Reinforcement Learning,"['TD3', 'Q-Learning', 'Value Iteration', 'SAC', 'Temporal Difference', 'Model-Based RL', 'Multi-Agent RL', 'Policy Gradient', 'Bandit Algorithms', 'Monte Carlo Methods']","['Computer Science', 'Applied Math', 'Applied Data Science']",3.15,25,MS1,22,3,Hybrid,0,"As a Reinforcement Learning Engineer, the candidate will be responsible for designing, implementing, and optimizing reinforcement learning algorithms to solve complex decision-making problems. The primary focus will be on developing and applying advanced techniques such as TD3, Q-Learning, Value Iteration, SAC, Temporal Difference, Model-Based RL, Multi-Agent RL, Policy Gradient, Bandit Algorithms, Monte Carlo Methods to various real-world applications. Additionally, the candidate will collaborate with a team of researchers and engineers to improve the efficiency and effectiveness of these algorithms, ultimately contributing to the advancement of AI and machine learning in the industry."
J0023,CV,"['ResNet', 'Object Detection', 'YOLO', 'Facial Recognition', 'GAN', 'EfficientNet', 'Inception', 'OCR', 'Style Transfer', 'Stereo Vision']","['Statistics', 'Electrical Engineering', 'Computer Science']",2.69,36,UG2,17,2,In Person,2,"As a Computer Vision Engineer, you will be responsible for designing, developing, and implementing advanced computer vision algorithms using state-of-the-art deep learning techniques such as ResNet, Object Detection, YOLO, and Facial Recognition. You will also work on enhancing the performance of our models using techniques like GAN, EfficientNet, Inception, and OCR. Additionally, you will be involved in projects that require Style Transfer, Stereo Vision, and other advanced computer vision tasks to create innovative solutions for our clients."
J0024,CV,"['3D Vision', 'SLAM', 'Point Cloud Processing', 'Image Classification', 'EfficientNet', 'GAN', 'Image Segmentation', 'Inception', 'Super Resolution', 'YOLO']","['Computer Science', 'Electrical Engineering', 'Applied Math']",3.3,19,MS1,20,2,No Preference,2,"As a Computer Vision Engineer, the candidate will be responsible for developing and implementing advanced algorithms for 3D vision, SLAM, and point cloud processing. They will work on improving image classification using EfficientNet and Generative Adversarial Networks (GAN), as well as implementing image segmentation techniques such as Inception and Super Resolution. Additionally, the candidate will contribute to the development of object detection systems using YOLO. In this role, the Computer Vision Engineer will be expected to design, develop, and optimize computer vision algorithms to meet the requirements of autonomous vehicles. They will collaborate with cross-functional teams to integrate their solutions into the overall system architecture. The candidate will also."
J0025,Theory,"['High-Dimensional Statistics', 'Linear Algebra', 'Information Theory', 'Game Theory', 'Combinatorial Optimization', 'Probability Theory', 'Random Matrix Theory', 'VC Dimension', 'Sparse Recovery', 'Algorithm Design']","['Electrical Engineering', 'Computer Science', 'Applied Data Science']",2.55,13,UG4,38,2,No Preference,1,"As a Research Scientist in the field of Theory, you will be responsible for developing and implementing advanced algorithms in high-dimensional statistics, linear algebra, information theory, game theory, combinatorial optimization, probability theory, random matrix theory, VC dimension, sparse recovery, and algorithm design. You will work on creating innovative solutions to complex problems, conducting rigorous theoretical analysis, and collaborating with a team of researchers to publish groundbreaking research in top-tier journals. Your primary focus will be on designing, testing, and refining mathematical models to improve our understanding of various complex systems and their behavior."
J0026,NLP,"['Dialog Systems', 'Machine Translation', 'Information Extraction', 'Dependency Parsing', 'Sentiment Analysis', 'GPT', 'Language Modeling', 'Chatbots', 'Word Embeddings', 'Text Summarization']","['Electrical Engineering', 'Applied Data Science', 'Computer Science']",3.47,15,UG3,15,3,In Person,0,"As a NLP Engineer, you will be responsible for designing and implementing cutting-edge natural language processing solutions. This will involve working on dialog systems, machine translation, and information extraction, among other tasks. You will also be expected to contribute to our language modeling efforts, particularly in the areas of GPT and chatbots. Additionally, you will have the opportunity to work on projects related to sentiment analysis, dependency parsing, word embeddings, and text summarization. Your work will be instrumental in improving our language understanding capabilities and enhancing the user experience of our products."
J0027,Reinforcement Learning,"['Reward Shaping', 'Markov Decision Process', 'Policy Gradient', 'Unity ML-Agents', 'OpenAI Gym', 'Bandit Algorithms', 'SAC', 'Temporal Difference', 'Experience Replay', 'DDPG']","['Computer Science', 'Electrical Engineering', 'Statistics']",2.44,0,UG1,28,2,In Person,2,"As a Reinforcement Learning Engineer, you will be responsible for designing and implementing advanced reinforcement learning algorithms to optimize agent behaviors in complex environments. Your primary tasks will involve working on reward shaping, Markov Decision Processes, and policy gradient methods to develop intelligent agents capable of learning from experience. You will also be required to leverage Unity ML-Agents and OpenAI Gym for simulating and testing these agents, as well as exploring the use of deep reinforcement learning techniques such as SAC, Temporal Difference, Experience Replay, and DDPG."
J0028,Reinforcement Learning,"['Actor-Critic', 'Unity ML-Agents', 'PPO', 'Off-Policy Learning', 'Exploration Strategies', 'DDPG', 'Model-Based RL', 'Value Iteration', 'Dynamic Programming', 'OpenAI Gym']","['Computer Science', 'Electrical Engineering', 'Statistics']",3.5,35,UG4,11,2,No Preference,1,"As a Reinforcement Learning Engineer, you will be responsible for designing and implementing advanced machine learning algorithms, specifically focusing on Actor-Critic methods, using popular frameworks such as Unity ML-Agents and OpenAI Gym. Your primary tasks will involve the development and optimization of Off-Policy Learning techniques, including Proximal Policy Optimization (PPO), and the exploration of DDPG and Model-Based RL strategies. Additionally, you will work on enhancing exploration strategies, employing Value Iteration and Dynamic Programming, and contributing to the creation of more efficient and intelligent agents for a wide range of applications."
J0029,Reinforcement Learning,"['Dynamic Programming', 'Multi-Agent RL', 'Exploration Strategies', 'Reward Shaping', 'Experience Replay', 'TD3', 'Off-Policy Learning', 'Unity ML-Agents', 'Policy Gradient', 'Inverse RL']","['Computer Science', 'Electrical Engineering', 'Applied Math']",2.42,21,UG3,35,1,Online,1,"As a Reinforcement Learning Engineer, you will be responsible for designing, implementing, and optimizing advanced reinforcement learning algorithms for various applications. Your primary focus will be on developing and integrating dynamic programming, multi-agent RL, exploration strategies, reward shaping, and experience replay techniques to enhance the performance of reinforcement learning models. Additionally, you will work on implementing off-policy learning methods such as TD3, policy gradient, and inverse RL, and leverage Unity ML-Agents to create and test your models in simulated environments."
J0030,Robotics,"['Localization', 'Robot Learning', 'Computer Vision for Robotics', 'Path Planning', 'Grasping', 'V-REP', 'Forward Kinematics', 'Kalman Filters', 'Navigation', 'Gazebo Simulation']","['Computer Science', 'Applied Data Science', 'Electrical Engineering']",2.11,26,UG4,38,3,No Preference,1,"As a Robotics Engineer, you will be responsible for designing, implementing, and testing advanced localization and navigation systems for our robotic platforms. You will work on developing computer vision algorithms for object recognition and robot learning, as well as path planning and grasping techniques. Utilizing simulation software such as V-REP, Gazebo, and other tools, you will create realistic and challenging environments to test and validate your solutions. Your work will directly contribute to the development of autonomous robots capable of performing complex tasks in various environments."
J0031,Applications (Other),"['Clinical Data Analysis', 'Fairness in ML', 'Genomics', 'Drug Discovery', 'Causal Inference', 'Data Privacy', 'Federated Learning', 'Signal Processing', 'A/B Testing', 'Ethics in AI']","['Applied Math', 'Quantitative Biology', 'Computer Science']",2.7,25,UG2,30,3,No Preference,2,"As a Data Scientist in the Applications (Other) industry, you will be responsible for analyzing clinical data to drive drug discovery and improve healthcare outcomes. You will apply your expertise in Fairness in ML, Genomics, and Causal Inference to develop models that ensure unbiased and accurate predictions. Additionally, you will work on projects involving Data Privacy, Federated Learning, Signal Processing, A/B Testing, and Ethics in AI, ensuring that our solutions are secure, efficient, and socially responsible."
J0032,CV,"['3D Vision', 'Convolutional Neural Networks', 'Image Segmentation', 'OCR', 'GAN', 'R-CNN', 'VAE', 'Mask R-CNN', 'Object Detection', 'ResNet']","['Computer Science', 'Applied Math', 'Applied Data Science']",2.68,13,UG4,21,2,Hybrid,1,"As a Computer Vision Engineer, you will be responsible for designing, developing, and implementing advanced algorithms for object detection, image segmentation, and recognition. You will work on projects involving Convolutional Neural Networks (CNNs), Generative Adversarial Networks (GANs), Variational Autoencoders (VAEs), and Recurrent Convolutional Neural Networks (R-CNNs). Additionally, you will utilize cutting-edge techniques such as Mask R-CNN and ResNet to enhance the performance of our AI models in real-world applications."
J0033,Theory,"['Optimization Theory', 'Regret Analysis', 'Algorithm Design', 'High-Dimensional Statistics', 'Computational Complexity', 'Graph Theory', 'Statistical Learning Theory', 'Computational Learning Theory', 'Sparse Recovery', 'Formal Methods']","['Computer Science', 'Electrical Engineering', 'Applied Data Science']",3.71,12,UG1,40,1,No Preference,2,"As a Research Scientist in the field of Theory, the candidate will be responsible for designing and analyzing optimization algorithms, with a focus on regret analysis and computational complexity. They will work on developing new techniques in high-dimensional statistics, graph theory, and statistical learning theory, with the goal of improving sparse recovery and reducing computational time. Additionally, the candidate will contribute to the development of formal methods for understanding and improving computational learning theory."
J0034,Applications (Other),"['A/B Testing', 'Differential Privacy', 'Medical Imaging', 'Ethics in AI', 'Clinical Data Analysis', 'Privacy-Preserving ML', 'Bioinformatics', 'Experimental Design', 'Fairness in ML', 'Survival Analysis']","['Statistics', 'Computer Science', 'Electrical Engineering']",3.04,24,UG4,13,1,In Person,2,"As a Research Scientist in the field of Applications (Other), your primary responsibility will be to design and execute A/B tests for various medical imaging applications. You will leverage your expertise in Differential Privacy, Privacy-Preserving Machine Learning, and Bioinformatics to ensure the ethical and fair implementation of these tests. Additionally, you will analyze clinical data using experimental design principles, Survival Analysis, and Fairness in Machine Learning techniques to improve the accuracy and reliability of our medical imaging solutions."
J0035,Theory,"['Mathematical Proofs', 'Compressed Sensing', 'Convex Optimization', 'Random Matrix Theory', 'Computational Complexity', 'Graph Theory', 'High-Dimensional Statistics', 'Game Theory', 'Theoretical CS', 'Optimization Theory']","['Computer Science', 'Applied Math', 'Electrical Engineering']",2.91,21,UG1,27,3,No Preference,1,"As a Theoretical Computer Scientist, the successful candidate will be responsible for developing novel mathematical proofs and algorithms in the field of compressed sensing, convex optimization, and random matrix theory. They will work on designing efficient computational algorithms for high-dimensional statistics, graph theory, and game theory problems, with a focus on minimizing computational complexity. The candidate will collaborate with a multidisciplinary team to analyze and solve complex optimization problems, contributing to groundbreaking research in theoretical computer science and related fields. </s> As a Theoretical Computer Scientist, your primary responsibility will be to develop innovative mathematical proofs and algorithms in the areas of compressed sensing, convex optimization, and."
J0036,Robotics,"['Navigation', 'Robot Learning', 'Localization', 'Grasping', 'Sensor Fusion', 'State Estimation', 'PID Control', 'Kalman Filters', 'Obstacle Avoidance', 'Dynamics Modeling']","['Applied Data Science', 'Electrical Engineering', 'Computer Science']",2.78,17,UG3,16,3,Hybrid,1,"As a Robotics Engineer, you will be responsible for designing, developing, and implementing advanced navigation systems for autonomous robots. You will work on tasks such as robot learning, localization, grasping, and obstacle avoidance, utilizing techniques like sensor fusion, state estimation, PID control, Kalman filters, and dynamics modeling. Additionally, you will focus on improving the robot's ability to navigate complex environments by enhancing its localization and obstacle avoidance capabilities."
J0037,Reinforcement Learning,"['Experience Replay', 'Unity ML-Agents', 'Bandit Algorithms', 'Markov Decision Process', 'Temporal Difference', 'Model-Based RL', 'Q-Learning', 'Reward Shaping', 'Value Iteration', 'TRPO']","['Electrical Engineering', 'Computer Science', 'Statistics']",2.88,22,UG3,22,2,In Person,2,"As a Reinforcement Learning Engineer, the candidate will be responsible for designing and implementing advanced reinforcement learning algorithms to train intelligent agents within the Unity ML-Agents environment. The primary focus will be on developing and optimizing model-based reinforcement learning methods such as Temporal Difference, Value Iteration, and Q-Learning. Additionally, the candidate will work on enhancing the learning process through techniques like Experience Replay, Reward Shaping, and TRPO to ensure the agents make informed decisions based on the reward structure."
J0038,Reinforcement Learning,"['Policy Gradient', 'TD3', 'OpenAI Gym', 'Reward Shaping', 'DDPG', 'Off-Policy Learning', 'Value Iteration', 'Bandit Algorithms', 'Unity ML-Agents', 'Q-Learning']","['Computer Science', 'Electrical Engineering', 'Applied Math']",2.17,14,UG4,16,2,No Preference,2,"As a Reinforcement Learning Engineer, you will be responsible for designing and implementing advanced reinforcement learning algorithms to solve complex decision-making problems. You will work on projects involving policy gradient methods, such as Proximal Policy Optimization (PPO), Twin Delayed DDPG (TD3), and Deep Q-Network (DQN). Additionally, you will research and apply techniques like reward shaping, off-policy learning, and value iteration to optimize agent performance in various environments, including those simulated using OpenAI Gym, Unity ML-Agents, and custom game engines."
J0039,CV,"['EfficientNet', 'GAN', 'Super Resolution', 'Inception', 'Point Cloud Processing', 'VAE', 'ResNet', 'VGG', 'Pose Estimation', 'Transfer Learning']","['Electrical Engineering', 'Computer Science', 'Applied Data Science']",2.22,12,UG3,8,1,Online,0,"As a Computer Vision Engineer, you will be responsible for developing and implementing advanced deep learning models for tasks such as super-resolution, pose estimation, and point cloud processing. This will involve utilizing cutting-edge techniques like EfficientNet, GAN, and Transfer Learning, as well as popular architectures like ResNet, VGG, and Variational Autoencoders (VAE). Additionally, you will work on enhancing existing models by incorporating techniques like Inception and VAE for improved performance in tasks like super-resolution and image recognition."
J0040,Robotics,"['Obstacle Avoidance', 'PID Control', 'Particle Filters', 'State Estimation', 'Gazebo Simulation', 'Inverse Kinematics', 'SLAM', 'Computer Vision for Robotics', 'V-REP', 'Control Systems']","['Computer Science', 'Statistics', 'Electrical Engineering']",2.65,19,UG1,35,1,In Person,2,"As a Robotics Engineer, you will be responsible for designing and implementing advanced obstacle avoidance systems, utilizing techniques such as PID control, particle filters, and state estimation. You will also work on simulating these systems in Gazebo and V-REP, as well as developing SLAM algorithms for autonomous navigation. Additionally, you will be tasked with implementing inverse kinematics and computer vision for robotics to enhance the performance and safety of our robots."
